"abbr","country","topic","subtopic","topic_slug","subtopic_slug","sentence",value,"source_doc"
"AT","Austria","Anti-corruption","Institutional Framework","anti-corruption","institutional-framework","In the 2019 Corruption Perceptions Index of Transparency International, Austria scores 77/100, and ranks 6th in the European Union and 12th globally.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","The criminal anti-corruption legislative framework is broadly in place.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","Anticorruption policies are set at the federal level.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","The rules on political party financing, including the role of the Court of Audit, are undergoing reforms.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","Gaps remain in the framework ensuring the integrity of members of Parliament.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","A number of measures for preventing corruption for civil servants and top executive functions are in place.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","A lobbying register exists, but only limited information is publically available.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Prevention","anti-corruption","prevention","A framework for whistleblower protection is in place.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Represive measures","anti-corruption","represive-measures","The fight against corruption is shared between several authorities with specific competences.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Represive measures","anti-corruption","represive-measures","The Central Prosecutor’s Office for Combating Economic Crimes and Corruption is the main authority competent to fight corruption.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Anti-corruption","Represive measures","anti-corruption","represive-measures","Post-employment for members of Government and Parliament is not regulated.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Efficiency","justice","efficiency","The justice system manages its caseload in an efficient manner, but faces some challenges for administrative cases.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Independence","justice","independence","The perceived level of independence of the judiciary is consistently very high.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Independence","justice","independence","The procedures for the appointment of administrative court presidents are subject to debates.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Independence","justice","independence","The right of the Minister of Justice to instruct prosecutors in individual cases is under discussion.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Quality","justice","quality","The resources for the judiciary have been increased.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Quality","justice","quality","A large-scale project to further improve digitalisation of the judiciary is ongoing.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Justice","Quality","justice","quality","The court fee regime will be subject to an evaluation.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","The Government is reflecting on a reform to improve access to information.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","There is no specific framework for journalists’ protection.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","Stakeholders raised concerns over safeguards for editorial independence.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","The media regulatory authorities function in an independent manner.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","The Austrian Press Council (Österreichischer Presserat) operates as a self-regulatory facility for the press.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","Media ownership is subject to transparency rules, but information is not always fully available in practice.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","Austria allocates high levels of state advertising to media companies.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Other Institutional Issues","Accessibility","other-institutional-issues","accessibility","The Constitutional Court is reviewing measures related to the COVID-19 pandemic.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Other Institutional Issues","Civil Society","other-institutional-issues","civil-society","The Government intends to further develop dialogue with civil society.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Other Institutional Issues","Independent Authorities","other-institutional-issues","independent-authorities","Several different Ombudsman authorities contribute to upholding fundamental rights in different areas.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"AT","Austria","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","The process for enacting laws regularly involves the consultation of stakeholders, but there is no formal framework for such consultations.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0319&from=EN"
"BE","Belgium","Anti-corruption","Institutional Framework","anti-corruption","institutional-framework","Belgium scores 75/100 in the 2019 Transparency International Corruption Perception Index and is among the higher ranked EU Member States, ranking 7th in the European Union and 17th globally.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","The criminal legal framework to combat corruption is largely in place.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","Several national public bodies have key roles in fighting corruption and promoting ethics and integrity.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","Members of the Federal Parliament pledge to comply with a dedicated Code of Deontology, appended to the Rules of Procedure.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","Conflicts of interest are regulated by different legal acts, each foreseeing specific mechanisms dedicated to their field of action.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","Officials and strategic advisors are obliged to submit asset declarations and a list of mandates, functions and professions.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","New lobbying provisions were introduced to the House of Representatives in July 2018.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Prevention","anti-corruption","prevention","There is no general whistleblower protection regulation in Belgium.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Represive measures","anti-corruption","represive-measures","The Central Office for the Repression of Corruption (CDBC-OCRC) is the specialised central service within the federal police.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Represive measures","anti-corruption","represive-measures","A dedicated reporting system has also been set up within the police.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Anti-corruption","Represive measures","anti-corruption","represive-measures","Whilst Belgium does not have a dedicated national policy on preventing corruption, federal authorities have put in place various integrity measures.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Efficiency","justice","efficiency","No full overview of the efficiency of the justice system is available due to a lack of data.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Independence","justice","independence","The perceived level of independence of the judiciary is above average and efforts to further foster independence continue.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Independence","justice","independence","The power of the Minister of Justice to instruct the prosecution service to prosecute a specific case is accompanied by safeguards and is not used in practice.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Quality","justice","quality","Developments are ongoing as regards digitalisation of the justice system.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Quality","justice","quality","New measures relating to the justice system have recently been adopted in light of the COVID-19 pandemic.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Quality","justice","quality","A process is under way to achieve autonomous management of resources by the judiciary.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Justice","Quality","justice","quality","Several other reforms relating to the quality of the justice system are also ongoing.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","Belgium provides constitutional protection for the press and freedom of expression and ensures protection of the journalistic profession.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Media Pluralism","Journalists' Protection","media-pluralism","journalists-protection","The right of access to government-held information is enshrined in the Constitution.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","Three audiovisual media regulatory authorities are responsible for the media falling under the jurisdiction of the respective linguistic Communities (Dutch, French and German).",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Media Pluralism","Regulatory authorities","media-pluralism","regulatory-authorities","There are two very active press councils.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Media Pluralism","Transparency of Media","media-pluralism","transparency-of-media","Both the Dutch- and French-speaking media regulators make information regarding media ownership available to the general public.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Other Institutional Issues","Civil Society","other-institutional-issues","civil-society","A recently adopted law provides civil society organisations with increased possibilities to defend their statutory interests.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Other Institutional Issues","Independent Authorities","other-institutional-issues","independent-authorities","A new National Human Rights Institution is in the process of being established.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","Conducting impact assessments and consulting stakeholders are well-established practices in the legislative process.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","The caretaker Government was granted special powers in order to deal with the COVID-19 pandemic.",3,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BE","Belgium","Other Institutional Issues","Preparing and enacting laws","other-institutional-issues","preparing-and-enacting-laws","The Council of State advisory branch faces a significant workload.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0300&from=EN"
"BG","Bulgaria","Anti-corruption","Institutional Framework","anti-corruption","institutional-framework","In the latest Transparency International 2019 Corruption Perceptions Index, Bulgaria scored 43/100 and was ranked last in the EU and 74th globally.",1,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The National Strategy for Preventing and Countering Corruption covers the period 2015-2020.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
"BG","Bulgaria","Anti-corruption","Prevention","anti-corruption","prevention","The legal framework to fight corruption is largely in place, but challenges remain.",2,"https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:52020SC0301&from=EN"
